Date,AAPL,AMZN,GOOGL,META,NFLX
2013-01-02,16.68734359741211,12.865500450134277,18.033973693847656,27.893449783325195,13.144286155700684
2013-01-03,16.47670555114746,12.923999786376953,18.04444694519043,27.664323806762695,13.79857063293457
2013-01-04,16.017765045166016,12.957500457763672,18.401012420654297,28.650556564331055,13.71142864227295
2013-01-07,15.923534393310547,13.42300033569336,18.320724487304688,29.308046340942383,14.171428680419922
2013-01-08,15.966390609741211,13.319000244140625,18.284568786621094,28.949413299560547,13.880000114440918
2013-01-09,15.716851234436035,13.317500114440918,18.404752731323242,30.47359275817871,13.70142936706543
2013-01-10,15.91168212890625,13.267000198364258,18.488534927368164,31.180891036987305,14.0
2013-01-11,15.814111709594727,13.397000312805176,18.45138168334961,31.599292755126953,14.470000267028809
2013-01-14,15.250304222106934,13.636500358581543,18.033973693847656,30.832223892211914,14.778571128845215
2013-01-15,14.769165992736816,13.595000267028809,18.075864791870117,29.985458374023438,14.527142524719238
2013-01-16,15.382214546203613,13.446499824523926,17.8330020904541,29.736408233642578,13.925713539123535
2013-01-17,15.278572082519531,13.52400016784668,17.73650550842285,30.025304794311523,13.95714282989502
2013-01-18,15.197111129760742,13.605999946594238,17.566701889038086,29.54713249206543,14.167142868041992
2013-01-22,15.342096328735352,13.509499549865723,17.52580451965332,30.613059997558594,13.972857475280762
2013-01-23,15.622936248779297,13.405500411987305,18.489028930664062,30.70271873474121,14.751428604125977
2013-01-24,13.692599296569824,13.67300033569336,18.805952072143555,30.961727142333984,20.979999542236328
2013-01-25,13.369813919067383,14.19950008392334,18.7924861907959,31.41997718811035,24.222856521606445
2013-01-28,13.672231674194336,13.802000045776367,18.71917724609375,32.346439361572266,23.158571243286133
2013-01-29,13.928763389587402,13.017499923706055,18.792736053466797,30.672832489013672,24.15999984741211
2013-01-30,13.884995460510254,13.637999534606934,18.796476364135742,31.121118545532227,23.957143783569336
2013-01-31,13.844266891479492,13.274999618530273,18.84285545349121,30.862106323242188,23.605714797973633
2013-02-01,13.787428855895996,13.25,19.33930015563965,29.616865158081055,23.542856216430664
2013-02-04,13.44397258758545,12.99899959564209,18.925886154174805,28.003032684326172,24.96285629272461
2013-02-05,13.915690422058105,13.344499588012695,19.093446731567383,28.5310115814209,24.912857055664062
2013-02-06,13.900797843933105,13.111000061035156,19.203907012939453,28.939451217651367,26.34428596496582
2013-02-07,14.314122200012207,13.011500358581543,19.298160552978516,28.540973663330078,25.994285583496094
2013-02-08,14.520787239074707,13.09749984741211,19.58291244506836,28.441354751586914,25.85285758972168
